_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,helpfulness,confidence,helpfulness_gold,no,review,rating,ratings_combined
2905523768,False,finalized,3,12/23/2020 07:25:58,somewhat_helpful,0.6598,,64963,مهما كانت ميولك الفكريه .. لازم هتحب حاجه في الكتاب ده,5.0,pos_rating
2905523769,False,finalized,3,12/23/2020 07:25:58,helpful,0.6598,,52854,.. .. هنا التقيت بأحد أعجب الرجال اطلاقا،شمس الدين التبريزي، خالد في كل العصور، وهو دائما حادث لأن رسالته في الدنيا العشق،والعشقُ أبداً جديد،ان هناك العديد من الملامح الرائعة في شخصيته،شمس ليس فيلسوفا متقعرا بمصطلحات ومفاهيم بعيدة،ان له قانوناً واحداً فقط(أجعل ضميرك مرآة أعمالك،وليتساوى في نظرك من تتوج بتاج الذهب او توج بتاج الشوك،الراهبات والمومسات والمجاذيم،فجميعنا جزء منه).. اذكر اني بعد قراءة زوربا توقفت طويلا عن القراءة لأني بقيت مسكونا بروح زوربا المتوهجة،وظننتُ أني لن التقي بشخصية تستلني من كل ماهو حولي كزوربا،والآن هاهو شمس التبريزي،ان هذه الكتب لا تكف عن ادهاشنا ابداً.. .. ((يصبح الكون مختلفاً عندما تعشق الماء النار)).. ((كانت كل بتلة شهادة ملونة بأن الموت شيء يجب ألا يخشاه الإنسان)).. .. تقييمي 10/10,5.0,pos_rating
2905523770,False,finalized,3,12/23/2020 07:25:58,unrelated,0.6598,,48057,سأعود,3.0,neutral_ratings
2905523771,False,finalized,3,12/23/2020 07:25:58,helpful,1.0,,14611,"لم أكن قد قرأتُ لأحلام ثلاثيتها الشهيرة، ولم أكن قد قرأتُ لها شيئاً قبل هذا، لذا كانت البداية مع "" الأسود يليق بك "" غير مناسبة تماماً؛ لكنها لن تمنعني بالتأكيد من أن أقتني ثلاثيتها على الأقل.. قصة أحلام في هذه الرواية، لم تكن مقنعة إلى حدٍ بيِّن، يشعرُ القارئ بكذب راويها العليم حين يستنطق مشاعر "" هالة "" ووصفها بشكل يتقاطع مع حقيقة السرد التي تحكيها الرواية، يقول الراوي: أنها متمنعة، وقوية، وعنيدة، وقد تكون نداً حقيقياً لذلك الثري؛ لكن الحدث الروائي والخط الذي تسير فيه هالة بشحمها ولحمها لا يشي بذلك بتاتاً، فهي ضعيفة، وطيَّعة جداً، وتكاد أن تفرط في نفسها من أجل ماذا.. لا شيء يستحق، حتى التداعيات التي بدأت فيها الشرارة الأولى ليست فطنةً بما يكفي، القصة لم تكن متماسكة حتى وإن كانت من النوع المكرور المستهلك؛ لأنها قد تسلك مسلكاً جيداً رغم ذاك؛ لكنها لم تفعل ذلك.. الشيء الذي ربما يكون جيداً وغير جيد في الوقت ذاته هو لغة أحلام وعرضها كعناوين قصيرة موجزة في كثير من أجزاء الرواية، الجيد هو سحرية اللغة، وغير الجيد هو تعمد أحلام عرضها بتلك الطريقة حتى بدت تنفك عن بنية الرواية رويداً رويداً.. الكتاب في المجمل لم يضف شيئاً حقيقياً لتجربتي القرائية، وعليه فلا أـنصح بهذا السواد أبداً.",2.0,neg_rating
2905523772,False,finalized,3,12/23/2020 07:54:33,helpful,1.0,,17368,تسحرني لغتها وقلمها. تمنيت أن صفحات الكتاب لا تنتهي. جميييييييييلة تلك الأحلام,4.0,pos_rating
2905523773,False,finalized,3,12/23/2020 07:54:33,somewhat_helpful,0.6598,,59497,"مطولة بشكل مبالغ، لكن تلقي الضوء على جوانب غير ظاهرة في مسار ""الربيع العربي"" في مصر.",3.0,neutral_ratings
2905523774,False,finalized,3,12/23/2020 07:54:33,helpful,1.0,,64488,ايه العظمه دي بصراحه. روايه تحفه شموليه بتتكلم عن كل حاجه اتكلم عن الجيش واوغاد الشرطه واتكلم عن العيشه الميري واتكلم عن سيد قطب والفكر الاسلامي علي فكره الحادي واتكلم عن سمرقند وبلاد من وراء النهرين واتكلم عن الامام البخاري واتكلم عن الاسكندر تحس انها اكتر من روايه في روايه واحده واتكلم عن مشاكل كتير. روايه تاريخيه سياسيه ادبيه دينيه,5.0,pos_rating
2905523775,False,finalized,3,12/23/2020 07:54:33,helpful,1.0,,2388,رواية رائعة .. كنت مقتنعا أن الرواية فعلا مترجمة و أن الأحداث حقيقية إلى أن اكشفت العكس . قضايا كثيرة ناقشتها الرواية بأسلوب جميل بعيد عن التكلف والتعقيد.. يقول الكاتب انه تقمص شخصية عيسى/ هوزيه أثناء كتابته للرواية وهذا مايفسر المشاعر الصادقة للشخصية و كأنما تقرأ لأحداث وقعت بالفعل.. الرواية تتقاطع منذ البداية لأحداث وشخصيات حقيقية انصهرت و اخرجت لنا رواية غنية تستحق القراءة ..,5.0,pos_rating
2905523776,False,finalized,3,12/23/2020 07:55:03,somewhat_helpful,0.3402,,4326,سهل في القراءة عجبتني النهاية :-),4.0,pos_rating
2905523777,False,finalized,3,12/23/2020 07:55:03,helpful,0.6804,,40934,"كنت متأمله أججمل من كذا بكثير )"". لكن يبدو أن الكاتبة كتبتها محاولة توضيح رأي الطرف الآخر لكن بدل أن تكحلها عمتها :)",1.0,neg_rating
2905523778,False,finalized,3,12/23/2020 07:55:03,helpful,1.0,,61608,رواية رائعة ابدع فيها الاسواني في وصف احداث حصلت في زمن مهم من عمر مصر. عرض ممتاز لأحداث اجتماعية لا زالت تحصل في مجتمعاتنا حتى اليوم. فضح المتخاذلين والخونة وربطهم ربطا جيدا بأسباب تراجع وتخلف امتنا. خلال الرواية تشعر نفسك انك تقف في موقع المشجع لكامل وصالحة نظرا لاستقامتهم وفي موقف الحانق على جيمس رايت و الكوو وبقية العنصريين والظالمين والخونة. عتبي الوحيد على الاسواني يكمن في النهايات غير الموفقة. الرواية تنجح في جذبك بإيقاعها السريع والمشوق وتفشل في وضع النقط على بعض الحروف تاركة القارىء متسائلا بعد إنهاء القراءة عما آلت اليه الأمور لبعض فصول الأحداث بعد كل هذه الملحمة. بشكل عام، عمل ممتاز ويستحق القراءة.,4.0,pos_rating
2905523779,False,finalized,3,12/23/2020 07:55:03,helpful,0.6598,,55199,مللت من المد الوصفي للحالة العامة في بعض الأوقات ومعجبنيش الاستنادية الكتيرة لأقوال الفلاسفة والحكماء والاغاني شيء بيمللني زي ماكان في أحببتك أكثر مما ينبغي وفلتغفري .. لكن هذا لايقلل من براعة أثير في انتقاء كلماته و تعبيراته واتمني اقرأ حاجة جديدة قريب.. ^^,3.0,neutral_ratings
2905523780,False,finalized,3,12/23/2020 07:55:47,not_helpful,0.3402,,6855,اقل من رواية تراب الماس و1919 يغلب عليها طابع الشعوذة والسحر والدجل انما تسلسل الاحداث جيد الحبكة الدرامية جيدة جدا بس فى العادى رواية متوسطة المستوى,2.0,neg_rating
2905523781,False,finalized,3,12/23/2020 07:55:47,somewhat_helpful,1.0,,47552,مجموعة من المقالات هي في مجملها ملاحظات وطرفات حول حياتنا اليومية والإجتماعية، بأسلوب سلس وبسيط، خفيف تنهيه في يوم واحد... لم يأت بأفكار جديدة لكنه طرحها بأسلوب جميل ..,2.0,neg_rating
2905523782,False,finalized,3,12/23/2020 07:55:47,helpful,1.0,,2263,أنتهيت للتو من قراءة رواية #ساق_البامبو للكاتب / سعود السنعوسي بتوصية من الاعلامي حمد الزكيبا والرائع / حجي جابر تقييمي ?/?. الرواية تتحدث عن طفل والده كويتي وأمه فلبينية ولا يتقبله المجتمع لتبدأ أحداث القصة منذ تزوج والده بوالدته. الرواية كتبت بأسلوب جميل تخللته بعض الأحيان اللغه الشعبية البسيطة دون تكلف ولدى الكاتب قدرة رائعة على وصف المكان والزمان. لا استغرب من وصف الكاتب لبلاده ولكن اعجب من وصفه للفلبين وكأنه فعلا يسجل قصة حقيقية واطلاعه على تاريخ الفلبين !. كانت بعض احداث الرواية جريئة وتحدثت عن أمور قد تكون غريبة في المجتمع او لم يتم التطرق لها بهذا الشكل :السجن ، البدون ، الجنس الثالث .. الخ. تتخلل الرواية بعض المفاجآت مما قد يجعلك تعيد قراءة بعض احداث الرواية مرة اخرى ! ورغم ان صفحاتها قاربت ??? صفحة الا انها ممتعه بحق. حاول الكاتب إلقاء الضوء على الكثير من السلبيات في المجتمع من وجهة نظرة وبطريقته وبشكل سريع يدق ناقوس الخطر دون الخوض في الكثير من التفاصيل. الكثير من الموضوعات التي تطرق لها الكاتب كل منها يستحق رواية اخرى وان كان كثرتها وتشعب موضوعاتها قد قام بزيادة الرواية الا انه ألقى الضوء عليها بفن. لم استسغ بعض ما كتب في الرواية وخصوصا ما يحدث في السجون واعتقد ان هناك مبالغة في الإشارة لهذا الموضوع. أعترف انني لم افهم كيف تكون الرواية مترجمة من الفلبينية وكاتبها كويتي ! هل صحيح او ان الكاتب تعمد جعلنا نتخيل ان الرواية حقيقية !. شعرت من الصفحات الاولى للرواية بأن عيسى بطلها هو فعلا موجود وهو من يتحدث فعلا عن حياته لدرجة أصبحت احلم باحداثها !. من أراد النظر للمجتمع الفلبيني كفلبيني او أراد النظر للمجتمع الكويتي كأجنبي او كمواطن فعليه بقراءة هذه الرواية ولن يندم. رواية رائعة تجعلني ابحث عن روايات اخرى لهذا الكاتب العملاق ، شكرًا زوجتي على أهدائي هذه الرواية .,4.0,pos_rating
2905523783,False,finalized,3,12/23/2020 07:55:47,not_helpful,0.3402,,34870,كتاب كان لازم ياخد حقه اكتر من كده في الكتابة. نفسي دكتور بخرج من عباءة القصص القصيرة شوية. ويكتب رواية كاملة,4.0,pos_rating
2905523784,False,finalized,3,12/23/2020 07:56:35,helpful,1.0,,65429,من أجمل الكتب التي يمكن أن يبدأ القارئ رحلته للعثور على الحقيقة. الحقيقة التي يمكن أن تكون في داخلنا. كتاب أغناني وأنا ما أزال في بداية الطريق، أفكاره غزيرة رغم قصره. رحمك الله يا دكتور مصطفى,4.0,pos_rating
