,0,1
0,sexy,7.27
1,provided,3.47
2,return,2.64
3,ms.,2.59
4,review,2.52
5,jake,2.46
6,author,2.41
7,honest,2.34
8,arc,2.24
9,brooke,2.08
10,romance,2.07
11,hea,1.97
12,meet,1.75
13,hot,1.71
14,rachel,1.68
15,kacey,1.64
16,caleb,1.56
17,tate,1.56
18,alpha,1.53
19,biker,1.52
20,maas,1.51
21,december,1.5
22,eve,1.46
23,every,1.42
24,eventually,1.42
25,fresh,1.41
26,wes,1.4
27,come,1.36
28,douglas,1.35
29,away,1.34
30,honor,1.33
31,amelia,1.32
32,prince,1.31
33,wonderfully,1.31
34,saint,1.31
35,everywhere,1.3
36,top,1.3
37,grandmother,1.29
38,blew,1.29
39,wild,1.27
40,mc,1.26
41,publisher,1.26
42,full,1.25
43,let,1.25
44,gritty,1.24
45,want,1.24
46,sister,1.24
47,katie,1.24
48,bang,1.23
49,love,1.23
50,lena,1.22
51,pain,1.22
52,single,1.21
53,maverick,1.19
54,unforgettable,1.19
55,leah,1.16
56,evans,1.16
57,chemistry,1.15
58,destroyed,1.15
59,smart,1.15
60,evie,1.15
61,luke,1.15
62,nicholas,1.14
63,shade,1.13
64,beckett,1.12
65,skin,1.12
66,ana,1.11
67,cal,1.11
68,sex,1.11
69,*arc,1.11
