,0,1
0,boring,10.17
1,idea,5.29
2,wonderful,4.98
3,star,4.2
4,psychological,4.03
5,stupid,3.92
6,naive,3.87
7,article,3.62
8,-_-,3.49
9,weak,3.42
10,e,3.29
11,drug,3.22
12,painful,3.19
13,good,3.12
14,liked,3.02
15,fantastic,2.83
16,disappointing,2.83
17,bad,2.81
18,mahbthash,2.75
19,lack,2.64
20,duplicate,2.63
21,somewhat,2.63
22,silly,2.58
23,tedious,2.51
24,uproar,2.49
25,abdulaziz,2.48
26,general,2.46
27,heart,2.42
28,pornographic,2.41
29,palestine,2.29
30,ashour,2.26
31,repetition,2.26
32,superficial,2.23
33,needle,2.18
34,suspense,2.18
35,language,2.16
36,mhdnah,2.1
37,weakest,2.09
38,danh,2.09
39,ultimately,2.04
40,curiosity,2.02
41,god,2.02
42,worst,2.01
43,consumer,1.96
44,unfortunately,1.96
45,hptin,1.93
46,expectation,1.89
47,teen,1.89
48,hatred,1.87
49,traditional,1.86
50,plot,1.86
51,arabia,1.85
52,hated,1.84
53,content,1.84
54,hype,1.83
55,exaggerated,1.82
56,justification,1.81
57,complemented,1.8
58,radwa,1.8
59,nothing,1.78
60,expected,1.77
61,lacking,1.77
62,htaraf,1.76
63,tear,1.76
64,labyrinth,1.75
65,btaa,1.74
66,unbeliever,1.72
67,mlhash,1.72
68,two-star,1.71
69,granada,1.69
70,masturbation,1.68
71,usefulness,1.67
72,splendor,1.67
73,raised,1.66
74,bit,1.64
75,hsah,1.61
76,unless,1.61
77,permissible,1.59
78,highest,1.59
79,supposed,1.58
80,opinion,1.58
81,criterion,1.57
82,amusing,1.57
