,0,1
0,boring,14.24
1,wonderful,11.93
2,weak,7.75
3,article,7.21
4,good,7.17
5,hype,7.06
6,bad,7.01
7,idea,6.92
8,disappointing,5.86
9,-_-,5.59
10,star,5.44
11,painful,5.36
12,silly,5.09
13,somewhat,4.77
14,uproar,4.63
15,unfortunately,4.6
16,superficial,4.41
17,nothing,4.16
18,content,4.14
19,stupid,4.1
20,ordinary,4.04
21,fantastic,3.96
22,hmam,3.91
23,naive,3.83
24,repetition,3.81
25,general,3.78
26,expectation,3.71
27,language,3.69
28,prosaic,3.63
29,mahbthash,3.54
30,lack,3.54
31,radwa,3.45
32,tedious,3.39
33,ashour,3.36
34,pain,3.34
35,psychological,3.33
36,exasperating,3.28
37,new,3.26
38,ghassan,3.2
39,heart,3.16
40,duplicate,3.06
41,traditional,3.04
42,boredom,2.93
43,hard,2.85
44,two-star,2.84
45,consumer,2.81
46,raised,2.79
47,method,2.75
48,opinion,2.74
49,woman,2.74
50,cheap,2.74
51,great,2.73
52,vulgar,2.67
53,palestine,2.66
54,exaggerated,2.63
55,hptin,2.62
56,arabia,2.61
57,btaa,2.61
58,needle,2.58
59,fallacy,2.58
60,mlhash,2.56
61,tntorah,2.56
62,pornographic,2.54
63,tear,2.52
64,waste,2.52
65,history,2.48
66,teenager,2.44
67,curiosity,2.44
68,lacking,2.43
69,mesh,2.42
70,worst,2.41
71,stupidity,2.41
72,bit,2.39
73,granada,2.38
74,complex,2.34
75,complemented,2.32
76,medium,2.31
77,trivial,2.31
78,prolongation,2.31
79,film,2.3
80,finest,2.29
81,coolest,2.29
82,plot,2.25
83,hated,2.25
84,drug,2.23
85,dragging,2.22
86,htaraf,2.2
87,almt,2.2
88,liked,2.18
89,island,2.18
90,supposed,2.18
91,rating,2.17
