,0,1
0,patient,46.2
1,acceptable,39.5
2,bad,37.71
3,disappointing,31.24
4,weak,29.26
5,exceptional,22.36
6,excellent,21.81
7,hassan,11.88
8,gorgeous,9.46
9,good,8.65
10,old,8.63
11,everything,8.43
12,beautiful,8.15
13,wonderful,7.62
14,smell,7.08
15,cockroach,5.78
16,taking,5.75
17,never,5.51
18,role,5.41
19,great,5.03
20,call,5.01
21,alersbhn,4.74
22,unacceptable,4.71
23,foul,4.58
24,comfortable,4.53
25,thank,4.01
26,comfort,3.88
27,aansah,3.79
28,leaking,3.79
29,quiet,3.72
30,smelled,3.72
31,junk,3.71
32,nice,3.66
33,five-star,3.65
34,unfortunately,3.4
35,furniture,3.38
36,dirty,3.36
37,new,3.27
38,fantastic,3.26
39,nuisance,3.17
40,chalet,3.17
41,room,3.05
42,strange,3.02
43,tatter,2.99
44,heater,2.97
45,twice,2.83
46,rickety,2.81
47,fit,2.79
48,water,2.72
49,foot,2.68
50,worst,2.67
51,special,2.6
52,trip,2.6
53,hadi,2.58
54,money,2.57
55,early,2.56
56,dirt,2.55
57,said,2.51
58,leading,2.51
59,complaint,2.44
60,spacious,2.43
