,name,score,helpful,rating,review
0,book_11014,60.193011196499995,3/7,2,"The Plot for The Giver
     The plot for the book The Giver is very confusing. Their world in this book is all perfect and there is no crime or anything unusual. The beginning you really don't know what is going on because it kind of starts right in the middle of something. There world is totally black and white. The main character Jonas starts out as any normal boy would until the age of 12 when he gets the special job as the Receiver. This person receives all the memories from the people in the past. All the people in this book do not suffer any pain except the receiver. Everybody has the same exact feeling as everybody else and don't get to think for themselves. The second reason is that the plot in this book is not a very interesting topic. This book doesn't grab your attention at all. It is all perfect so there is really no adventure in this book. There also isn't any action in it which makes this book even more boring. This book's plot isn't very thought out in my opinion because it is not very interesting and it is all perfect which makes the reader think the author didn't put much time into thinking the plot through by having the book all perfect. There is what I think about the plot of the book The Giver. So now that you know that this is a very bad book! I want to make sure that you don't waste your well earned money. Thanks for reading about what I have to say about the plot of this book."
1,book_111659,63.9009134007,6/8,5,"THERE &amp; BACK AGAIN
     AWESOME book! Originally Tolkien wrote it for his children, now everyone of every age loves it. I don't want to spoil the story, other than it is a really good treasure hunt. If you're stuck on which edition to get, I'd suggest getting the 'classic' one with Tolkien's full-color paintings included. (It's nice and cool, and may be worth something down the road.) On the cover it shows his drawings of the mountains, forest, etc... Enough of that, I just hope they'll adapt this as a movie... (crosses fingers)"
2,book_111922,36.1999479042,1/16,1,"How do you keep an idiot busy for hours?
     If you have some extra time on your and feel like pissing it away, then read this book. I love literature;however, I cannot believe I wasted valuable hours of my life on reading this so called book. I've read technical manuals that are more interesting. If there is someone you really don't like, suggest that they read this book."
3,book_114362,65.3076641456,2/7,1,"Randomness
     Did I miss something here? What in the world was this book about? How can anyone say it even has a plot, let alone is worthy of being considered a classic? This pessimistic teenager gets kicked out of school (his third one) for not applying himself. You get the idea that he's smart, but he just doesn't care about anything. There are random references to his dead brother Allie, maybe that's a cause for his disillusionment with the world, but it's never really verified. This story was disappointing in that nothing significant happened. I kept waiting, and turning the pages, but at the end of the day it was a disappointment."
4,book_116528,55.3294137146,16/45,1,"pseudo-intellectual and not interesting
     Atlas Shrugged is clearly an attempt to legitimize global capitalism, but not, as is suggested, the free market kind, but the worst form of corporatism. The philosophical arguments are convincing only to those who have not read much in the subject. If you are interested in this topic, there are a hundred other books that are more educational and interesting, including most dry econ. texts. It is not worth the time to read this 1000 pages of propaganda..."
5,book_117390,60.7291192793,14/19,5,"A Dangerous Work
     I've recommended this book to any number of people since coming late in life to it. This is the refutation of Marx's &quot;Communist Manifesto&quot; - the powerful rationalist and ethical argument for capitalism. But you'd be amazed how many supposedly intelligent, open-minded people have told me they REFUSE to read this book because they disagree with its basic premise: that capitalism - the belief that free people creating and freely exchanging wealth - is a moral good, and that communism - the belief that what you create belongs not to yourself, but to everyone else (i. e., government-sanctioned thievery) - is evil. They actually seem AFRAID to read it; they seem to have a lurking, fear that this book somehow threatens some cherished core belief. Who would have thought that simply READING a book could be dangerous?If you read nothing else this year, read this book - if you dare. But know that doing so will put your beliefs about how the world works under a pitiless microscope. And if you read it with any kind of an open mind, it will change the way you think."
6,book_118472,26.2136576537,6/10,5,"The best book I ever read
     I know this is not a full review, and is not that helpful in its brevity. It's more of a vote. Atlas Shrugged is the best book I have ever read. I will write a longer review at some point."
7,book_119303,3.89547295191,4/5,1,"garbage
     i can't save my rating of this garbage w/o a review so here it is."
8,book_120028,63.123631766,6/10,5,"It's all in the attitude
     For those who read this book with an open Mind and Heart, you will benefit the most. This book is all about attitude, if you have a bad attitude about life and living then this book isn't for you, but if your living your best life and want it to be better, then there is much to be taken from the SECRET. It isn't all about the ""Stuff"" you can have, but the VERY BEST LIFE YOU CAN HAVE.......that makes it all worth reading."
9,book_120649,57.1772102571,7/9,3,"overrated
     I wish I would have been so intelligent. I believe this is a compilation of all of the self help and motivational stuff I have read or heard before. I won't say that I didn't enjoy it, I was just a little disappointed. No new territory uncovered. I think what I have heard Oprah say about it is right on and better put. I am a true believer in ""Creative Visualization"". I like Shakti Gawain."
