_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,helpfulness,confidence,helpfulness_gold,no,review
2904680182,false,finalized,3,12/23/2020 05:49:50,helpful,1.0,,9942,استثنائي. الحمدلله اقامتنا كانت طيبه واستمتعنا في الاقامه في فندق الفيصليه وكل الخدمات المقدمه كانت ممتازه بشكل عام. لاشيء
2904680183,false,finalized,3,12/23/2020 05:49:50,helpful,0.6667,,128309,“زيارة رائعه”. الافطار متنوع والاكل ممتاز السرير مريح طاقم العمل ودودين. عالاغلب الحمام والشاور ليس بالمستوى
2904680184,false,finalized,3,12/23/2020 05:49:50,helpful,0.6667,,43035,“أنصح فيه بشددة”. ارتحناااا جدا في السكن والخدمة على أعلى المستويات .. للأمانة ولا شيء.
2904680185,false,finalized,3,12/23/2020 05:49:50,somewhat_helpful,0.6667,,73118,جيد. توفر المواقف الاضافية امام الفندق. الميني بار داخل الغرفة كان به علب سيجارة بعدد كبير للاسف
2904680186,false,finalized,3,12/23/2020 05:50:49,helpful,0.6667,,23137,ممتاز. حفاوة الاستقبال من قبل الاستقبال وقد تم ترقية حجزي بدون مقابل نظرا لعدم توفر الغرفة التي قمت بحجزها. 
2904680187,false,finalized,3,12/23/2020 05:50:49,somewhat_helpful,0.3333,,5328,“ليس بذاك المستوى المأمول”. قربه من مول الامارات وقريب المتر مسافه كل منهما ٥ دقايق مشي السعر كان مقبول ١٠٠٠ ريال لثلاث ليالي. لم يعجبني ازعاج الممر واي احد يسولف في السيب تسمعه وكان المكيف خربان يطلع صوت والنت ضعيف جداً لايوجد بوفيه افطار كما ذكر عموماً لا اظن اني اكرر عودتي له
2904680188,false,finalized,3,12/23/2020 05:50:49,somewhat_helpful,0.6667,,72215,جيد. جميل وهادى وطاقم العمل ممتاز. السرير غيرمريح والحمام سيء المويه ماتتصرف
2904680189,false,finalized,3,12/23/2020 05:50:49,unrelated,0.3333,,220526,ضعيف. . وسخ
2904680190,false,finalized,3,12/23/2020 05:51:53,helpful,0.6667,,164600,“وجهه مميزه للاقامه لكن امل تجديد اثاث غرفة المعيشة”. تعامل الاستقبال رائع. انا اقمت في غرفة ١٨٠١ كنبات الصاله غير مناسبه للجلوس اطلاقا وكراسي طاولة الطعام سيئة جدا جدا  غير مريحه انا مستاء جدا من مستوى صالة المعيشه
2904680191,false,finalized,3,12/23/2020 05:51:53,helpful,0.6667,,53701,ممتاز. كل شيء فيه جميل وموقعه جميل جدا وكل شيء قريب منك .. بشكل عام الاقامه في هذا الفندق كانت جيده جداً. 
2904680192,false,finalized,3,12/23/2020 05:51:53,helpful,0.6667,,88137,"“مقبول .”. الصور تختلف عن الواقع،بعيد عن مطاعم الهندية والعربية تبعد المطاعم السريعة""برجركنج ومكدونالز والطازج"" 20 دقيقة مشي تتخللها اجتياز شارع رائيسى،استقبال لا يعطيك من الترحيب والاهتمام ما تستحق ،انصح به لمن يستخدم سيارته وعنده الدراية بشوارع واماكن دبى المزدحمة .. الاستقبال، ديكور وممرات الفندق قديمة،بعد المطاعم العربية والهندية واماكن التسوق من الفندق ."
2904680193,false,finalized,3,12/23/2020 05:51:53,somewhat_helpful,0.6667,,167678,استثنائي. الهدوئ والراحة التامه. رائحه الطبخ في الممرات
2904680194,false,finalized,3,12/23/2020 05:52:41,helpful,1.0,,16185,ممتاز. الاستقبال معاملتهم ممتازة وكذلك الواي فأي متوفر والشبكة قوية والنظافة ممتازة يوجد امام الاستقبال كوفي وبقالة مصغرة. السرير غير مريح والقنوات الفضائية قليلة جدا وخاصة الإخبارية
2904680195,false,finalized,3,12/23/2020 05:52:41,somewhat_helpful,0.3333,,44847,“الغرفه معفنه اما الفلل جيده”. مطل على البحر وجميل. الغرفه كانت سيئه صغيره جدا والحمام خربان وكتمه وصغيره تجيب الهم
2904680196,false,finalized,3,12/23/2020 05:52:41,helpful,1.0,,195398,“نتمنى الافضل”. نظافة الموقع خدمات الكفي وجود مواقف مضللة للسيارات توفير اسرة للاطفال بالمجان وجود مصلى .. صغر حجم الغرف جدا  لاتصلح لمن معه اطفال وغلاء الاسعار للتموين الغذائي
2904680197,false,finalized,3,12/23/2020 05:52:41,helpful,1.0,,12742,مرضي. مكان الاسترخاء ممتاز والمكان كذلك ممتاز والفلة ممتازة والموقع ع البحر ممتاز. لا تعجبني بتاتا خدمتهم تأخير في الرد على الهاتف وتأخير في الطلب اكثر من 45 دقيقة وكذلك الغلاء في الاكتفتي Jc وغيرها من الألعاب وخدمة wifi غالية 40درهم في الساعة والإرسال للهواتف داخل الفيلا ضعيف جداً جداً
2904680198,false,finalized,3,12/23/2020 05:53:16,helpful,1.0,,46730,“فندق اكثر من رائع ومساحة الغرفه ممتازة”. بصراحه كل شئ ممتاز. 
2904680199,false,finalized,3,12/23/2020 05:53:16,helpful,0.6667,,106519,جيد. الفعاليات الاطفال والالعاب واتمني المزيد. أسعار الفلل غاليه شويلايوجد مطاعم وجبات خفيفه باسعار معقوله
2904680200,false,finalized,3,12/23/2020 05:53:16,helpful,1.0,,93068,استثنائي. الفندق ممتاز الصراحة بجواره جميع الخدمات سوبر ماركت ومول ومطاعم خصوصا مطعم دمشق يسار الفندق لذيذ جداااا والمترو يبعد عشر دقايق مشي مترو الرقة. لاشي
2904680201,false,finalized,3,12/23/2020 05:53:16,helpful,1.0,,63669,رائع. فندق رائع جدا الاطلاله والنظافة والديكور والأثاث. مروش غرفة النوم صغير جداوشطاف حمام الصاله على اليسار
2904680202,false,finalized,3,12/23/2020 05:53:52,helpful,1.0,,49690,رائع. كل شئ جميل ومرتب ورائع الاستقبال رائع وخدوم العمال متعاونون ويلبون احتياجات النزيل بأسرع وقت كانت اقامه ممتعه جداً ومرافق لعب الاطفال ممتعه والاطلااله ووجود مطاعم تحت الشقق فخمه مثل المطعم التركي ومول وسوبر ماركت قريب. السعر مبالغ فيه ينقص الشقه طاوله ضيافه في منتصف الصاله لوضع القهوه والشاهي وافياش كهرباء بلقرب من المطبخ
2904680203,false,finalized,3,12/23/2020 05:53:52,helpful,0.6667,,220499,“فندق أرتحت به”. الفندق نظيف جدا وبه خدمة توصيل للحرم على مدار الساعة. 
2904680204,false,finalized,3,12/23/2020 05:53:52,helpful,1.0,,221203,“جيده جدا”. خدمه الاستقبال ومستوي الغرف. توقيت الحافلات وخاصه وقت تغيير ورديه السائقين وعدم توفر خدمه الواي فأي بالغرف وخدمه الغرف لابد ان تطلبها اكثر من مره
2904680205,false,finalized,3,12/23/2020 05:53:52,somewhat_helpful,0.6667,,128764,“نعم”. قربه من المسجد النبوي  (الموقع ). الاكل الافطار النظافه تشطيب الحمامات
2904680206,false,finalized,3,12/23/2020 05:54:35,somewhat_helpful,0.6667,,130080,مرضي. . بعده عن الحرم
2904680207,false,finalized,3,12/23/2020 05:54:35,somewhat_helpful,0.6667,,84222,“الحسن مكان”. المكان طيب والخدمة ممتازة. لاشي
2904680208,false,finalized,3,12/23/2020 05:54:35,somewhat_helpful,0.6667,,166449,“فندق صغير بخدمات محدودة”. حجم الغرفة والسرير خدمة الغرف سريعة. مواقف السيارات محدودةتسجيل الدخول والخروج يستغرق وقت طويلنظافة الغرفة وقت الاستلام سيئة مقابس الانارة محدودة وبعيدة عن منتصف الغرفة حصلت على وجبة غداء سيئة جداً ازعاج الشارع بالقرب من مشروع المترو
2904680209,false,finalized,3,12/23/2020 05:54:35,helpful,1.0,,448,“يستاهل النجوم الخمس”. تعامل طاقم الإستقبال ومبادرتهم بإعطاء عروض وخصومات أيضاً الهدوء والسعر. 
2904680210,false,finalized,3,12/23/2020 05:55:07,helpful,1.0,,179590,“فندق نظيف وهادي والخدمة ممتازة”. النظافة والموقع والتصميم. المواقف
2904680211,false,finalized,3,12/23/2020 05:55:07,unrelated,0.3333,,117470,“ممتاز”. كل شي. لا شي أعتقد
2904680212,false,finalized,3,12/23/2020 05:55:07,somewhat_helpful,0.6667,,94445,جيد. . السرير غير مريح ايضا من المفترض يكون مزدوج بدلا من منفصل كذلك موقف السيارات الدخول والخروج
2904680213,false,finalized,3,12/23/2020 05:55:07,somewhat_helpful,0.6667,,52884,مقبول. غرفه ضيقه جدا. الدولاب لا يستوعب اي شيء و باب الغرفة يمنعك من استخدامه Wi fi ضعيف. 
2904680214,false,finalized,3,12/23/2020 05:55:46,helpful,1.0,,128681,"جيد جداً. تعامل موظفين الفندق جدا"" ممتاز ومتعاونين ، تلبية الطلبات جدا"" بسرعة..العامل المتواجد بالمطعم لعمل وجبة البيض جدا"" بشوش ومتعاون ويشررح الصدر ، أول مرة أشوف موظف بهذي الطريقة . الواي فاي غير متواجد ، صالة الطعام كانت جدا"" مزحومة بسبب قلة الموظفين وكثرة تواجد الأطفال مما سبب إزعاج وقلة نظافة مع تنظيم..المناشف الصغيرة في دورة الأيام كانت غير نظيفة.."
2904680215,false,finalized,3,12/23/2020 05:55:46,helpful,0.6667,,97649,استثنائي. الهدوء والنظافة وسرعة الانجاز للدخول. لا يوجد خدمة استقبال السيارة المستأجر هو من يركن سيارته
2904680216,false,finalized,3,12/23/2020 05:55:46,helpful,1.0,,16213,“ممتاز”. صراحة روعه وجدا ممتاز وقريب جدا من الراشد مول والظهران مول وفي شبين مصرين بدوامه فترتين لكن جدا متعاونين ومحترمين ونظيف المدخل والغرف والمواقف ممتازة انا صراحة جدا جدا مبسوط. ﻻ يوجد فطور وعملت طلب من مطعم بابايز وماوصل إلى اﻻن يعني طلبات المطاعم تتأخر بس توصل
2904680217,false,finalized,3,12/23/2020 05:55:46,helpful,1.0,,121042,“فندق أكثر من رائع”. الخدمة جدا ممتازة، مكان مريح وجميل، شكر خاص للمضيفة Zaara. 
2904680218,false,finalized,3,12/23/2020 05:56:22,somewhat_helpful,0.3333,,117713,“فندق سي للغاية”. فندق سي للغاية. كل شي في الفندق عفن
2904680219,false,finalized,3,12/23/2020 05:56:22,somewhat_helpful,0.3333,,22047,“رووقان”. الموقع - النظافه - الاستقبال. المصاعد قليله - السعر مبالغ فيه - مواقف السيارات بفلوس ٠
