_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,helpfulness,confidence,no,review,review_en
2905523768,FALSE,finalized,3,12/23/2020 7:25:58,somewhat_helpful,0.6598,64963,مهما كانت ميولك الفكريه .. لازم هتحب حاجه في الكتاب ده,Whatever the intellectual tastes .. necessary Hthab in need. This book
2905523769,FALSE,finalized,3,12/23/2020 7:25:58,helpful,0.6598,52854,.. .. هنا التقيت بأحد أعجب الرجال اطلاقا،شمس الدين التبريزي، خالد في كل العصور، وهو دائما حادث لأن رسالته في الدنيا العشق،والعشقُ أبداً جديد،ان هناك العديد من الملامح الرائعة في شخصيته،شمس ليس فيلسوفا متقعرا بمصطلحات ومفاهيم بعيدة،ان له قانوناً واحداً فقط(أجعل ضميرك مرآة أعمالك،وليتساوى في نظرك من تتوج بتاج الذهب او توج بتاج الشوك،الراهبات والمومسات والمجاذيم،فجميعنا جزء منه).. اذكر اني بعد قراءة زوربا توقفت طويلا عن القراءة لأني بقيت مسكونا بروح زوربا المتوهجة،وظننتُ أني لن التقي بشخصية تستلني من كل ماهو حولي كزوربا،والآن هاهو شمس التبريزي،ان هذه الكتب لا تكف عن ادهاشنا ابداً.. .. ((يصبح الكون مختلفاً عندما تعشق الماء النار)).. ((كانت كل بتلة شهادة ملونة بأن الموت شيء يجب ألا يخشاه الإنسان)).. .. تقييمي 10/10,".. .. here I met one impressed by the men at all, Shams al-Din Tabrizi, Khaled of all time, which is always an accident because his message in the world of love, and love never again, there are many features brilliant in his character, the sun is not a philosopher Mottagara terminology and concepts far, that his one law only (make your conscience mirror your business, and even in your opinion of the crowned crown of gold or crowned the crown of thorns, the nuns and the prostitutes and Majavem, we all part of it) .. I remember after reading Zorba long stopped reading because I remained haunted by the spirit of Zorba incandescent, and I thought I will not be met with the character Tstlna of everything around me Kazhorba, now Here Shams Tabrizi, that these books do not stop Adhahna never .. .. ((the universe becomes different when love water fire)) .. ((all of a petal colorful testimony that death something must not fear human)) .. .. evaluation 10/10"
2905523770,FALSE,finalized,3,12/23/2020 7:25:58,unrelated,0.6598,48057,سأعود,I'll come back
2905523771,FALSE,finalized,3,12/23/2020 7:25:58,helpful,1,14611,"لم أكن قد قرأتُ لأحلام ثلاثيتها الشهيرة، ولم أكن قد قرأتُ لها شيئاً قبل هذا، لذا كانت البداية مع "" الأسود يليق بك "" غير مناسبة تماماً؛ لكنها لن تمنعني بالتأكيد من أن أقتني ثلاثيتها على الأقل.. قصة أحلام في هذه الرواية، لم تكن مقنعة إلى حدٍ بيِّن، يشعرُ القارئ بكذب راويها العليم حين يستنطق مشاعر "" هالة "" ووصفها بشكل يتقاطع مع حقيقة السرد التي تحكيها الرواية، يقول الراوي: أنها متمنعة، وقوية، وعنيدة، وقد تكون نداً حقيقياً لذلك الثري؛ لكن الحدث الروائي والخط الذي تسير فيه هالة بشحمها ولحمها لا يشي بذلك بتاتاً، فهي ضعيفة، وطيَّعة جداً، وتكاد أن تفرط في نفسها من أجل ماذا.. لا شيء يستحق، حتى التداعيات التي بدأت فيها الشرارة الأولى ليست فطنةً بما يكفي، القصة لم تكن متماسكة حتى وإن كانت من النوع المكرور المستهلك؛ لأنها قد تسلك مسلكاً جيداً رغم ذاك؛ لكنها لم تفعل ذلك.. الشيء الذي ربما يكون جيداً وغير جيد في الوقت ذاته هو لغة أحلام وعرضها كعناوين قصيرة موجزة في كثير من أجزاء الرواية، الجيد هو سحرية اللغة، وغير الجيد هو تعمد أحلام عرضها بتلك الطريقة حتى بدت تنفك عن بنية الرواية رويداً رويداً.. الكتاب في المجمل لم يضف شيئاً حقيقياً لتجربتي القرائية، وعليه فلا أـنصح بهذا السواد أبداً.","I had not read the dreams of the famous Thelathitha, and I did not have read her something before this, so it was the beginning with ""black befitting your"" is quite appropriate; But I will certainly be acquired Thelathitha at least prevent me .. the story of dreams in this novel, were not convincing to some extent between, the reader feels FALSITY Rawiyeha Alim while questioning the feelings of ""aura"" and described in intersects with the fact that the narrative that told by the novel, the narrator says: it reluctant, and strong, stubborn, and may be a real Nada so rich; But the novelist event and the line in which the halo is going Bahmha and its flesh does not suggest that at all, they are weak, very malleable, and almost overly same for why .. nothing worth, even the consequences that the first spark began not nimble enough, the story were not knit even though the type of consumer Almkror; Because they may behave a good attitude despite that; But they did not do it .. thing that may be a good and not good at the same time is the language of dreams and display short as headlines concise in many of the novel parts, good is the magic language, and good is deliberately dreams presented in that way even seemed ever-novel structure slowly .. the book overall has not added something real to my experience of literacy, and it is not I recommend this never black."
2905523772,FALSE,finalized,3,12/23/2020 7:54:33,helpful,1,17368,تسحرني لغتها وقلمها. تمنيت أن صفحات الكتاب لا تنتهي. جميييييييييلة تلك الأحلام,Language fascinates me and her pen. I wished that the pages of the book does not end. Baaeyeeyelh those dreams
2905523773,FALSE,finalized,3,12/23/2020 7:54:33,somewhat_helpful,0.6598,59497,"مطولة بشكل مبالغ، لكن تلقي الضوء على جوانب غير ظاهرة في مسار ""الربيع العربي"" في مصر.","Excessively lengthy, but shed light on aspects of the phenomenon is not in the path of the ""Arab Spring"" in Egypt."
2905523774,FALSE,finalized,3,12/23/2020 7:54:33,helpful,1,64488,ايه العظمه دي بصراحه. روايه تحفه شموليه بتتكلم عن كل حاجه اتكلم عن الجيش واوغاد الشرطه واتكلم عن العيشه الميري واتكلم عن سيد قطب والفكر الاسلامي علي فكره الحادي واتكلم عن سمرقند وبلاد من وراء النهرين واتكلم عن الامام البخاري واتكلم عن الاسكندر تحس انها اكتر من روايه في روايه واحده واتكلم عن مشاكل كتير. روايه تاريخيه سياسيه ادبيه دينيه,"A Greatness de frankly. Novel masterpiece comprehensiveness Worldwide for every need I'm talking about the army and thugs, police speak of sumptuous Miri and talking about Sayyid Qutb and thought Islamic Ali idea atheist and I'm talking about Samarkand and the country from behind the rivers and speak about Imam Bukhari and speak about Alexander feel it Aktar from the novel in one novel and talking about problems a lot. Historical novel political literary Dinier"
2905523775,FALSE,finalized,3,12/23/2020 7:54:33,helpful,1,2388,رواية رائعة .. كنت مقتنعا أن الرواية فعلا مترجمة و أن الأحداث حقيقية إلى أن اكشفت العكس . قضايا كثيرة ناقشتها الرواية بأسلوب جميل بعيد عن التكلف والتعقيد.. يقول الكاتب انه تقمص شخصية عيسى/ هوزيه أثناء كتابته للرواية وهذا مايفسر المشاعر الصادقة للشخصية و كأنما تقرأ لأحداث وقعت بالفعل.. الرواية تتقاطع منذ البداية لأحداث وشخصيات حقيقية انصهرت و اخرجت لنا رواية غنية تستحق القراءة ..,Wonderful novel .. I was convinced that the novel actually translated and that the real events that Akeshvt the opposite. Many issues discussed by the novel a beautiful long way from affectation and complexity .. writer says he is impersonating Jesus / Jose during the writing of the novel and this explains why sincere feelings of personality and as if you read the events have already occurred .. The novel intersect since the beginning of the events and real characters fused and drove us a novel rich worth reading ..
2905523776,FALSE,finalized,3,12/23/2020 7:55:03,somewhat_helpful,0.3402,4326,سهل في القراءة عجبتني النهاية :-),Easy to read in the end :-) liked so
2905523777,FALSE,finalized,3,12/23/2020 7:55:03,helpful,0.6804,40934,"كنت متأمله أججمل من كذا بكثير )"". لكن يبدو أن الكاتبة كتبتها محاولة توضيح رأي الطرف الآخر لكن بدل أن تكحلها عمتها :)","I was reflective of Ojajml as well as much). ""But it seems that the writer wrote an attempt to clarify the opinion of the other party, but rather Tekhalha :) her aunt"
