_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,helpfulness,confidence,helpfulness_gold,no,review
2905773261,false,finalized,3,12/23/2020 06:28:34,helpful,0.6804,,55180,في ديسمبر تنتهي كل الأحلام:. تتأطر هذه الرواية ضمن خانة الأسلحة الفتاكة التي يمكن أن ترديك قتيلا بين كل لحظة وأختها،في سياق أمواج الرواية لا يمكنك إلا أن تشير على أن آثير تعزف بشكل جميل أحيانا، وفي لحظات أخرى تتراجع في ذهول لتهيء،لمرحلة بعدها أجمل إنشادا ،من خلال مجريات الأحداث لا يمكن إلا أن تصنف قلمها،ضمن صنف النساء اللواتي يكتبن بتمرد غيرة على صفتهن كنساء،قلم أنثوي لا يقبل الرضوخ لا للعادات ولا لأحكام فقهية منسوبة للدين تدني من مكانتهن بشكل غير مقبول ،ديسمبر هو آخر شهر في السنة،وما بعد المرحلة الأخيرة أحيانا تجد النور الذي تبحث عنه، ان لم تفقد ثقتك بنفسك،في ديسمبر انتهت أحلام الرجال في هذه الرواية،فيما صعدت النساء لمراتبهن الأصلية التي كانت من حقوقهن الضائعة في وحل المتاهة منذ زمن سحيق.... أعجبتُ جدا بأسلوبها في الكتابة،مرة ترحل بك مع فولتير،وأحيانا أخرى مع فيكتور هيغو من جانب الغربيين ،لتعود بك إلى حضن الأصل الشرق،مع أنيس منصور،وواسيني الأعرج،ثم أحلام مستغانمي،راجعة بنا لقصة الحب الخالدة،لقدسية القصائد أيام الاندلس في قرطبة،بين ابن زيدون وولادة،للموشحات الاندلسية،وللقصائد الدرويشية،وللشحطات البياتية وللسياسات المطرية.... هكذا يكون الكاتب ناجحا في أن يجعل من رواياته،بنات صالحات ،حتى إذا تعرف عليهن أحد ،احترمهن،وقدر مكانتهن ورفع من منزلتهن في سقف توقعاته،وكان ما كان من خلال أحداث هذه الرواية التي تميزت بكثير عن ،أحببتك أكثر مما ينبغي،لكونها شملت الحب،والتناقض،والصراع العقائدي والصراع القبلي ،والعادات...
2905773262,false,finalized,3,12/23/2020 06:28:34,helpful,0.6804,,3312,لا أعرف حقيقة ،، مالذي يجب علي التحدث عنه ؟. عن تيه طآل بهذا المسكين الذي لم يجد أي وطن يحتويه ..!!. أم عن نتانة نهانا عنها رسولنا الكريم ،، لكننا بجهلنا الذي نفخر به ،، لا نزال نمتسك بها..!!. تُرى أي بؤس ذلك الذي يعترينا ،، عندما نتبجح أمام العالم بإنسانية لم ننجح في تحقيقها فيما بيننا !!. أين ذلك الفخر وتلك العزة وذلك الشموخ الذي نعقد عليه مساعينا.. ونحن نبني الاحقاد والاسوار البغيضة وحماقات الجاهلية تشكل ملامح أخلاقنا ؟؟. نتفاخر بأنه بيدينا رسالة الله للناس ،، ونتفاخر أيضا بأننا نمزقها بين الحين والاخر..!!. طهر قذر ،، ذلك الذي يشكّل مجتمعنا ،، إن بقيت هذه حالنا كما ذكر في هذه الرواية التي ليست خيالية ،، بل تصف بشكل بمؤلم ،، واقع إنسانية ممزقة ،، وبراءة جوفاء. ورحمة تحمل بين طياتها الفظاعة والظلم !. كم من عيسى تغرب عن بلاده مجبرا ،،. إما فقرا مدقعا ،، أو هربا من حرب ضروس. أو حبا في بلادٍ نسكنها ذكرت له على انها الجنة التي يضحي من أجلها. لكن هيهات لحلم أن لا تغزوه الكوابيس. وأمل لا يبرح أن يستحيل صدمة !!. يأتون إلينا فيجدون العجب والعجاب !!. نعم بلادنا هي بلاد العجائب ،، وليس تلك التي تسكنها أليس وصديقها الارنب. بلاد عجائب لأنها تحوي مجتمعا متناقضا. يدعّي أنه مجتمع محافظ ،، لكن على ماذا؟. على التخلف ،، والجهل ،، والتعصب ..!!. **. عذرا لك يآ عيسى فواقعنا المخزي لم ترى منه إلا شيئا يسيرا ..!!. ليس هذا عزاء لك ،، بل هو إعتراف قد يزيح بعضا من ذلك الهم الجاثم على قلوب لا تقوى الكلام .. كعمتك عواطف. أو أرواح لم تجرؤ على التغيير خوفا من مجتمع يتربص بها ،، كما هي حال عمتك الحائرة هند ..!!. **. عذرا لك يا عيسى ،، فلا سيقان البامبو تستطيع ضرب جذورها في هذه الصحراء. ولا جذور الاخلاق التي نبتت منذ زمن ،، واقتلعناها ،، طيشا وتكبرا وجهلا ،، قد تستطيع الحياة ،، في بلاد الشقاء هذه !!. **. التصحر يا عيسى لا يسكن هذه الارض فقط ،، بلا إمتد إلى ساكنيها ..!!. بل وقارب أن يطمرهم ..!!
2905773263,false,finalized,3,12/23/2020 06:28:34,somewhat_helpful,0.3402,,47293,"مجموعة من المقالات ا و الخواطر... خفيفة ولطيفة على القلب.... اشجع الكاتب على الإستمرار وبالتوفيق. ""أريد كوب من القهوة بطريقتي أنا وكما تحلو لي ساخنة بالحليب الكامل الدسم و سكر معتدل"""
2905773264,false,finalized,3,12/23/2020 06:28:34,not_helpful,1.0,,39609,مؤلمة.
2905773265,false,finalized,3,12/23/2020 06:29:09,helpful,1.0,,22230,"بسم الله .. أولاً، وثانياً عذراً إن طال الكلام .. فأنت أمام عمل مهم ، بُذل فيه مجهود ضخم ولا يتكلم فيه أحد ولا يحق لأحد - كما يُقال - أن يتكلم فيه سوى متخصص فى التراث الدينى (علم اللاهوت) ... عندما يدفعك عزازيل للإعتراف أمام مرآتك عارياً لتدرك رقوقاً يرتبها لنا استاذ اللاهوت الدينى والتراث العربى التاريخى يوسف زيدان، حول احدى النزاعات اللاهوتية المسيحية هى كون الراهب القبطى انساناً له كل ما يخول لحياة الإنسان العادى من متع جسدية، اجتماعية، شعورية، .. دامجاً ما يدور بأروقة الكنائس من صراع حول الوهية السيد المسيح من عدمها وهل العذراء هى والدة اللإله أم.. هى مجرد امرأة - ليست بالطبع ككل النساء - قديسة وقدسيتها نابعة من كونها أنجبت من رحمها الطاهر معجزة إلهية... الرواية يرويها بطلها بنفسة .. وهذا أمتع ما فيها .. السرد كخاطرة يكتبها راهب حقيقى او مسيحى حقيقى تجسد فى صورة الكاتب ! .. رائع رغم ممل بعض الرقوق.. الراهب الراوى يدعى (هيبا) واسمه هو المقطع الأول من اسم سيدة مفكرة وفيلسوفة تدعى (هيباتيا) وثنية الأصل والديانة، فلما قُتلت بأيدى المسيحيين الموتورين أمثال بُطرس القارئ وغيره من الغوغاء والعامة.. فأثار مقتلها - كما أثارنا - بطلنا المسيحى ليأخذ المقطع الأول من اسمها كاسماً له طيلة حياته خارج موطنه الأصلى.. (الأسكندرية) حاملاً الطب كحلم واجب تحقيقة لخدمة المرضى الفقراء من أتباع الكنيسه،.. الأسكندرية التى هرب منها بعد موت أوكتافيا (معشوقته الوثنية التى تعاطفت مع هيباتيا قبل ان تطرده من كنفها لما علمت انه مسيحى راهب) ... يبدأ النزاع اللاهوتى بين البابا كُيرلس (رئيس أساقفة الاسكندرية والمدن الخمس الغربية ومصر والحبشة ومعه القديس مرقس رسوله الذى أتخذ من الأسد شعاراً له) وعن طريق إعلانه ثلاث رسائل تتلو اللعنات والحرمات الأثنتا عشرة ضد نسطور (أحد أساقفة القسطنطينية) وذلك لأنكار نيافة البابا نسطور لعقائد عوام المسيحيين وخواصهم كالخرافات.. وخاصة اعتقادهم بأن العذراء مريم هى وليدة الإله (يطلقون عيها ثيوتوكوس) وهذا ما ينكره نسطور وكل أساقفة القسطنطينية المستنيرين فقد أتضح هذا فى خطبة ألقاها نسطور يوم رسامته الاسقفية حيث قال فيما معناه أن يسوع المسيح إنسان ومريم هى أم يسوع الإنسان ولا يص أن تسمى والدة الإلة غهة امرأة قديسة ليس إلا! ولا يجوز أن يُقال لها (ثيوتوكوس) أو لا يجوز لنا الإعتقاد بأن اللة كان طفلاً خرج من بطن أمه بالمخاض ... وهذا .. لندخل فى صراع بين المقر البابوى فى روما (متحداً -لمصالحه- مع الكنيسة المسيحية بقيادة الأسقف كيرلس) وبين مدينة المقر الإمبراطورى القسطنطينية.. . ... رواية عظيمه قط يعيبها الأباحية الذائدة عن الحد، شيئ مخجل ومحزن للغاية أن تقرأ ما يقرب من 20 صفحة عن غوايات امرأة لرجل ! لط أن تسلط الضوء على هذا فى صفحه أو صفحتين على الكثر .. بها بعض الملل والمط العجيب لا سبباً به ! ولو أقتطعت لما تأثر العمل ... - السؤال، هل عزازيل تستحق الجائزة العالمية للرواية العربية (البوكر). ؟. = نعم تستحق :). وأخيراً لكم قول نسطور لهيبا :. ""إن البشارة والمعجزة الإلهية ياهيبا، سر نادر، لو أفرطنا فيه سيفقدد معناه، ونفقد نحن الإيمان، ونضاد العقل . ! ."". #محمد_سمير_فتحى .."
2905773266,false,finalized,3,12/23/2020 06:29:09,helpful,1.0,,46436,حزنت لانتهاء الكتاب فقد رأيت فيه الكثير من المواضيع المهمة للمجتمع والتي يجب على الكثيرين قرائتها وفهمها
2905773267,false,finalized,3,12/23/2020 06:29:09,somewhat_helpful,0.3402,,18408,رواية ضعيف وكئيبة ... الكاتبة ماكانتش بتكتب رواية متماسكة قد ماكانت عايزة تكتب رواية تسمع عالفيسبوك وبس فى شكل تويتات وكلام رنان وبس
2905773268,false,finalized,3,12/23/2020 06:29:09,not_helpful,0.6804,,61038,رآئعة بـ حق ... لي عودة مع التعليق <3 ..
2905773269,false,finalized,3,12/23/2020 06:29:49,somewhat_helpful,0.3402,,62084,"اضطررت لتخطي الكثير من الفقرات اثناء القراءة للتغلب على روتينية النص الروائي المكرور الطويل جدا والثقيل الظل جدا جدا, لم انتهى منها بعد وساكملها بدون حماس"
2905773270,false,finalized,3,12/23/2020 06:29:49,not_helpful,1.0,,49531,"وتبادلنا نظرات عميقة ... ثم قال : القرار بيدك. فأأخذت أنظر إلي يديّ أتأمل راحتيهما والخطوط التى تملأهما .. وكأنى أفتش عن القرار بينهما ... واراهما خاليتين جاوفاوين ,. لا يحملان شيئا !"
